BOX
VOYA
MFC
GEN
SRI
EVRI
RBA
NOK
IRL
EXTN
WDR
KS
RM
GMS
OME
MT
CIEN
KEYS
SCL
AVX
JBT
AME
BDC
EURN
MOD
KNX
NFG
KNOP
WNC
SAH
HTZ
VPG
MTL
BMI
THO
AIN
TG
BGG
MG
ENS
IPHI
TKF
PGTI
KN
MTOR
MPC
JKS
EGL
HFC
PBF
AGCO
TDG
ATU
MTW
HDB
TDY
DLPH
SN
WHG
TKC
BPI
E
EBR
TOWR
RACE
TWI
TISI
LYG
WGO
ITW
SF
VSLR
BSBR
SB
GLOG
GF
TOT
ALJ
SPXC
GOL
DK
GPI
OMN
HUN
TRTN
BUD
UTL
PAH
AT
OI
RBS
MSA
NEFF
CNHI
SNY
PVH
AZZ
ST
AP
BSMX
KDMN
MS
EROS
CVI
CS
TEF
LFGR
VNCE
BAK
NL
KMT
LDR
GLA
GNRT
CC
WAL
SAP
OFG
NEP
MAN
HCLP
AEG
FCAU
BGC
MLR
CRH
LUX
AOI
ASC
HIFR
TGH
AA
RYAM
WG
TI
STM
NTZ
SYX
PHG
UBS
ATI
TROX
AKS
GPRK
APFH
TPB
VOC
ORAN
OZM
ING
FCH
PN
BBVA
DB
CAI
BCR
ATUS
GPMT
SAFE
BY
APRN
CBH
OBE
CISN
BHGE
BBX
CULP
JBGS
SNMP
NXE
SVM
ALO
DXR
NEN
BDR
BKJ
CKX
GIG
MMV
GGO
REED
RVP
XTNT
ENSV
LIQT
INS
CRHM
PED
FSI
BAA
THM
INUV
AINC
EGI
SAND
AUMN
EMX
ALN
AIII
ASM
GVP
AXU
IHT
ACY
GLOW
IMH
NG
JOB
CAW
ADGE
ESNC
DGSE
NTIP
RWC
MAG
TEUM
BTG
ISDR
XPL
GORO
PLG
VII
TIS
UWN
VSR
UQM
MXC
BDL
DIT
AKG
VGZ
TRX
NGD
ROX
EIP
CRMD
DNN
EIO
KLDX
BFY
ACU
VNRX
GPL
BLJ
LGL
TGC
WTT
LBY
FSP
BZM
GSS
NAK
IPB
MICR
PZG
BVX
MHE
XRA
SRCI
GSV
CVR
CEF
DSS
NRO
EIV
EIM
OCX
NYH
MOC
NHC
CEV
SACH
BHV
GLV
MVF
DMF
FEN
ZDGE
EVJ
ANH
EVY
VKI
TKAT
RIF
MCF
BLE
EVM
CCA
MIW
GSB
EVP
SGB
HMG
EMJ
EMI
NSAT
SKY
VFL
MAB
CUO
YUMA
ENX
PHF
USAS
SBI
EVO
NPN
GST
TRT
HTM
VCF
DLA
BRG
MZA
EVV
HNW
ISL
EIA
GDP
NBH
NJV
GTE
BTN
RNN
SSN
CPHI
EMAN
ENRJ
APT
CVRS
HUSA
DHY
ELMD
BRN
TRXC
IBIO
VMM
TAT
ATNM
NAVB
IDN
AMPE
HLTH
PW
CVU
BGI
IAF
NBW
TMQ
CIK
LODE
WRN
KIQ
FCO
CEI
MTNB
EGAS
URG
CH
ERC
NBO
FTF
UTG
RAS
NHS
IMO
FAX
ERH
CLM
ELLO
GRF
EVBN
SVT
ABE
NBY
CQP
FRD
CQH
CTO
NML
AWX
BCV
CRF
ORM
LEU
CANF
AIRI
SGA
LNG
TIK
SIM
CET
GLO
MSN
VISI
ESP
GLU
EAD
LOV
STS
PARR
GLQ
ONP
IF
STRP
PRK
UFAB
TPHS
BGSF
SDPI
PLM
CMT
EVI
UUU
ISR
ECF
LAQ
MJCO
NTN
PLX
SSY
REI
IGC
SYN
NSU
CRVP
MHH
RCG
NOG
CCF
AMS
GBR
INFU
UAMY
CIX
TMP
SENS
ERN
AXN
GMO
HH
GV
BHB
OGEN
AE
SIF
SEB
LTS
UEC
RLGT
TGB
MLSS
JRJR
AAMC
NNVC
DPW
VHC
BPMX
EPM
PFNX
AAU
PTN
IEC
GSAT
XXII
INTT
FPP
WYY
CVM
APHB
HEB
MYO
IOR
SMTS
AUG
